backend,np,mean_miops,std_miops
direct connection,2,2.8290640410451964,
direct connection,4,7.373400075209693,
direct connection,8,15.417119722781793,
direct connection,16,29.71699189104897,
direct connection,32,62.70702781477105,
proxied connection,2,13.968507823230016,
proxied connection,4,22.106298422726493,
proxied connection,8,8.260392955796512,
proxied connection,16,14.861255585841288,
proxied connection,32,27.251379477457935,
UCX,2,3.381337820899507,
UCX,4,6.729188000475278,
UCX,8,14.411668591342838,
UCX,16,46.75107652224559,
UCX,32,66.47199327540699,
